,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
197,1983,Utah,Jennifer,Ashley,Jessica,Amanda,Heather,girl
198,1983,Vermont,Jessica,Amanda,Jennifer,Ashley,Sarah,girl
199,1983,Virginia,Jennifer,Jessica,Ashley,Amanda,Sarah,girl
200,1983,Washington,Jennifer,Jessica,Sarah,Amanda,Nicole,girl
201,1983,West Virginia,Jessica,Amanda,Jennifer,Ashley,Sarah,girl
202,1983,Wisconsin,Jennifer,Jessica,Amanda,Sarah,Nicole,girl
203,1983,Wyoming,Jessica,Jennifer,Amanda,Sarah,Ashley,girl
204,1984,Alabama,Ashley,Jessica,Jennifer,Amanda,Crystal,girl
205,1984,Alaska,Jessica,Jennifer,Sarah,Amanda,Nicole,girl
206,1984,Arizona,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
207,1984,Arkansas,Jennifer,Ashley,Jessica,Amanda,Amber,girl
208,1984,California,Jennifer,Jessica,Ashley,Nicole,Melissa,girl
209,1984,Colorado,Jessica,Jennifer,Amanda,Sarah,Ashley,girl
210,1984,Connecticut,Jennifer,Jessica,Sarah,Melissa,Nicole,girl
211,1984,Delaware,Jennifer,Jessica,Ashley,Amanda,Lauren,girl
212,1984,Dist. of Columbia,Jessica,Jennifer,Elizabeth,Ashley,Tiffany,girl
213,1984,Florida,Jennifer,Jessica,Ashley,Amanda,Stephanie,girl
214,1984,Georgia,Jessica,Ashley,Jennifer,Amanda,Tiffany,girl
215,1984,Hawaii,Jennifer,Ashley,Jessica,Nicole,Tiffany,girl
216,1984,Idaho,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
217,1984,Illinois,Jennifer,Jessica,Ashley,Amanda,Nicole,girl
218,1984,Indiana,Ashley,Jennifer,Amanda,Jessica,Sarah,girl
219,1984,Iowa,Ashley,Jennifer,Jessica,Amanda,Megan,girl
220,1984,Kansas,Ashley,Jennifer,Jessica,Amanda,Sarah,girl
221,1984,Kentucky,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
222,1984,Louisiana,Ashley,Jessica,Jennifer,Amanda,Heather,girl
223,1984,Maine,Jessica,Amanda,Jennifer,Ashley,Sarah,girl
224,1984,Maryland,Jennifer,Jessica,Ashley,Amanda,Heather,girl
225,1984,Massachusetts,Jennifer,Jessica,Sarah,Nicole,Elizabeth,girl
226,1984,Michigan,Jennifer,Jessica,Amanda,Sarah,Ashley,girl
227,1984,Minnesota,Jennifer,Amanda,Jessica,Sarah,Ashley,girl
228,1984,Mississippi,Ashley,Jessica,Jennifer,Amanda,Kimberly,girl
229,1984,Missouri,Ashley,Jennifer,Jessica,Amanda,Sarah,girl
230,1984,Montana,Jessica,Jennifer,Amanda,Ashley,Sarah,girl
231,1984,Nebraska,Ashley,Jennifer,Jessica,Amanda,Sarah,girl
232,1984,Nevada,Jennifer,Jessica,Ashley,Amanda,Nicole,girl
233,1984,New Hampshire,Jennifer,Jessica,Sarah,Amanda,Ashley,girl
234,1984,New Jersey,Jennifer,Jessica,Nicole,Lauren,Melissa,girl
235,1984,New Mexico,Jessica,Jennifer,Amanda,Stephanie,Crystal,girl
236,1984,New York,Jennifer,Jessica,Nicole,Melissa,Amanda,girl
237,1984,North Carolina,Ashley,Jennifer,Jessica,Amanda,Heather,girl
238,1984,North Dakota,Ashley,Jessica,Jennifer,Amanda,Nicole,girl
239,1984,Ohio,Ashley,Jennifer,Jessica,Amanda,Sarah,girl
240,1984,Oklahoma,Jennifer,Ashley,Jessica,Amanda,Amber,girl
241,1984,Oregon,Jennifer,Jessica,Sarah,Ashley,Amanda,girl
